routeid,stopid,estimatetime,goback
16542,177928,-3,3
16542,177929,-3,3
10281,12669,579,0
16542,177926,-3,3
16542,177927,-3,3
16543,177924,1262,1
16542,177925,-3,3
16543,177922,-3,3
16543,177923,377,1
10281,12663,300,0
16543,177920,-3,3
16543,177921,-3,3
10281,12661,170,0
10281,12667,497,0
10281,12665,442,0
10453,36605,336,1
10281,12639,156,0
10453,36606,379,1
10281,12637,123,0
10281,12631,0,0
10453,36600,1007,1
10453,36601,93,1
10281,12635,78,0
10453,36602,192,1
10453,36603,241,1
10281,12633,21,0
10453,36604,283,1
16397,153900,-1,2
16397,153901,-1,2
16397,153902,-1,2
16397,153903,-1,2
16397,153904,-1,2
16397,153905,-1,2
16397,153906,-1,2
10281,12649,459,0
16397,153907,-1,2
10281,12647,410,0
10281,12641,230,0
10281,12645,372,0
10281,12643,321,0
16728,153924,2315,2
16728,153925,2431,2
16728,153926,2765,2
16728,153927,2793,2
10281,12627,-1,2
10281,12625,-1,2
10281,12629,-1,2
16489,128997,-1,2
16489,128998,-1,2
16489,128999,-1,2
10281,12623,142,1
10281,12621,0,0
16633,163239,1481,0
16633,163237,1272,0
16633,163238,1433,0
16633,163235,1135,0
16633,163236,1208,0
16633,163233,1011,0
16633,163234,1044,0
16633,163231,941,0
16633,163232,979,0
16633,163230,877,0
10453,36590,253,1
10453,36591,375,1
10453,36592,440,1
16633,163228,706,0
10453,36593,570,1
10453,36594,625,1
16633,163229,811,0
16633,163226,550,0
10453,36595,686,1
16633,163227,652,0
10453,36596,757,1
16633,163224,371,0
16633,163225,423,0
16633,163222,138,0
16633,163223,249,0
16633,163220,3443,2
16633,163221,87,0
10453,36597,796,1
10453,36598,829,1
10453,36599,876,1
10453,36581,768,0
10453,36582,852,0
10453,36583,969,0
16633,163259,543,1
10453,36584,1127,0
10453,36585,124,1
16633,163257,374,1
16633,163258,486,1
16633,163255,200,1
16633,163256,328,1
16633,163253,0,1
16633,163254,156,1
16633,163251,3106,0
16633,163252,3205,0
16633,163260,1119,1
16633,163261,1300,1
10453,36586,356,1
10453,36587,0,1
10453,36588,56,1
10453,36589,181,1
10453,36570,1077,0
10453,36571,68,0
10453,36572,112,0
10453,36573,168,0
16633,163248,2708,0
16633,163249,2798,0
10453,36574,304,0
16633,163246,2528,0
16633,163247,2629,0
16633,163244,2408,0
16633,163245,2471,0
16633,163242,2223,0
16633,163243,2320,0
16633,163240,1570,0
16633,163241,1730,0
16633,163250,2906,0
10453,36577,406,0
10453,36578,463,0
10453,36579,519,0
10453,36560,50,0
10453,36561,92,0
10453,36562,155,0
10453,36563,233,0
10453,36564,325,0
10453,36565,403,0
10453,36566,528,0
10453,36567,593,0
10453,36569,880,0
10453,36550,-1,2
10453,36553,-1,2
10453,36554,-1,2
10453,36555,-1,2
10453,36556,-1,2
10453,36557,-1,2
10453,36558,-1,2
10453,36559,0,0
16633,163219,3407,2
16397,153894,-1,2
16397,153895,-1,2
16619,163218,632,1
16397,153896,-1,2
16619,163215,277,1
16397,153897,-1,2
16397,153898,-1,2
16397,153899,-1,2
10453,36546,-1,2
10453,36547,-1,2
10453,36548,-1,2
10453,36549,-1,2
16223,153886,-3,3
16397,153888,-1,2
18808,212447,-3,3
18808,212448,-3,3
18809,212443,-3,3
18809,212444,-3,3
16946,212445,-3,3
16946,212446,-3,3
16768,187297,17,0
16768,187298,61,0
16768,187299,275,0
16633,163279,1510,1
16633,163277,1337,1
16633,163278,1424,1
16633,163275,1139,1
16633,163276,1239,1
16633,163273,877,1
16633,163274,1001,1
16633,163268,391,1
16633,163269,446,1
16633,163266,229,1
16633,163267,327,1
16633,163264,0,1
16633,163265,164,1
16633,163262,1350,1
16633,163263,1438,1
16633,163271,671,1
16633,163272,805,1
16633,163270,546,1
10281,12715,473,1
10281,12713,267,1
10281,12719,638,1
10281,12717,604,1
10281,12711,110,1
10281,12727,1026,1
10281,12725,975,1
10281,12729,1092,1
10281,12723,842,1
10281,12721,793,1
10281,12705,569,1
10281,12703,372,1
10281,12709,42,1
10281,12707,749,1
10281,12701,115,1
16486,128830,853,0
16486,128831,888,0
16486,128829,791,0
16486,128821,47,0
16486,128822,127,0
16486,128824,250,0
16486,128825,290,0
16486,128826,314,0
16486,128827,665,0
16486,128828,748,0
16486,128820,0,0
16486,128818,-1,2
16486,128819,-1,2
16485,128810,395,1
16485,128811,461,1
16485,128812,802,1
16485,128813,-3,3
16485,128814,889,1
16486,128817,-1,2
16485,128807,223,1
16485,128808,288,1
16485,128809,336,1
16485,128800,2721,0
16485,128801,2827,0
16485,128802,2892,0
16485,128803,2946,0
16485,128804,7,1
16485,128805,144,1
16485,128806,172,1
16486,128870,493,1
16486,128871,558,1
16486,128872,47,1
16486,128873,95,1
16486,128874,157,1
16486,128875,261,1
16486,128865,153,1
10196,138203,24,0
16486,128866,195,1
16486,128867,317,1
16486,128868,404,1
16486,128869,430,1
16486,128860,365,1
16486,128861,461,1
16486,128862,557,1
16486,128863,25,1
16486,128864,76,1
16486,128854,913,0
16486,128855,973,0
16486,128856,1141,0
16486,128857,1228,0
16486,128858,78,1
16486,128859,135,1
16486,128850,217,0
16486,128851,441,0
16486,128852,618,0
16486,128853,852,0
16486,128843,571,0
16486,128844,681,0
16486,128845,1059,0
16486,128846,1154,0
16486,128847,1237,0
16486,128848,126,0
16486,128849,191,0
16486,128840,283,0
16486,128841,371,0
16486,128842,450,0
16486,128832,954,0
16486,128833,998,0
16486,128834,1034,0
16486,128835,1099,0
16486,128836,1121,0
16486,128837,61,0
16486,128838,167,0
16486,128839,210,0
10281,12759,663,1
10281,12757,685,1
10281,12751,546,1
10281,12755,661,1
10281,12753,596,1
10281,12763,-1,2
10281,12761,168,0
10281,12765,-1,2
10281,12737,142,1
10281,12735,30,1
10281,12739,175,1
10281,12733,330,1
10281,12731,190,1
16486,128880,901,1
16670,153802,194,1
10281,12749,494,1
10281,12747,450,1
16486,128876,325,1
10281,12741,261,1
16486,128877,407,1
16486,128878,529,1
16486,128879,886,1
10281,12745,397,1
10281,12743,314,1
16515,153796,1212,1
16581,138161,853,1
16581,138162,927,1
16581,138160,-2,2
16581,138169,1561,1
17501,177753,-3,3
16581,138167,1452,1
17501,177754,-3,3
16581,138168,1491,1
16581,138165,1211,1
17501,177751,-3,3
17501,177752,-3,3
16581,138166,1349,1
16581,138163,1139,1
17501,177750,-3,3
16581,138164,1180,1
17013,163105,-3,3
17013,163106,-3,3
17013,163103,-3,3
17013,163104,-3,3
17013,163101,-3,3
17013,163102,-3,3
17013,163100,-3,3
10732,138172,2077,0
10732,138173,960,0
16581,138170,57,1
16581,138171,81,1
17501,177748,-3,3
17501,177749,-3,3
17501,177746,-3,3
17501,177747,-3,3
17501,177744,-3,3
17501,177745,-3,3
17501,177742,-3,3
17501,177743,-3,3
17501,177740,-3,3
17501,177741,-3,3
10732,138174,1083,0
10731,138175,890,0
16485,128799,2665,0
16581,138118,770,0
16581,138119,900,0
16581,138116,504,0
16581,138117,663,0
17501,177719,-3,3
17501,177717,-3,3
17501,177718,-3,3
17501,177715,-3,3
17501,177716,-3,3
17501,177713,-3,3
17501,177714,-3,3
16581,138125,107,1
17501,177711,-3,3
16581,138126,166,1
17501,177712,-3,3
16581,138123,1318,0
17501,177710,-3,3
16581,138124,1364,0
16581,138121,1044,0
16581,138122,1179,0
16581,138120,983,0
16581,138129,122,1
16581,138127,273,1
16581,138128,21,1
17501,177708,-3,3
17501,177709,-3,3
17501,177706,-3,3
17501,177707,-3,3
17501,177704,-3,3
17501,177705,-3,3
17501,177702,-3,3
17501,177703,-3,3
16581,138136,791,1
17501,177700,-3,3
16581,138137,856,1
17501,177701,-3,3
16581,138134,644,1
16581,138135,715,1
16581,138132,254,1
16581,138133,550,1
16581,138130,173,1
16581,138131,212,1
10281,12693,185,0
16581,138138,895,1
16581,138139,955,1
10281,12691,0,0
16581,138140,0,1
17501,177739,-3,3
17501,177738,-3,3
17501,177735,-2,2
17501,177736,-3,3
16581,138147,501,1
17501,177733,-3,3
16581,138148,683,1
10281,12697,895,0
17501,177734,-3,3
16581,138145,355,1
17501,177731,-3,3
16581,138146,470,1
10281,12695,301,0
17501,177732,-3,3
16581,138143,108,1
16581,138144,150,1
17501,177730,-3,3
16429,212543,-4,2
16581,138141,97,1
16581,138142,0,1
10281,12699,0,1
16581,138149,758,1
16581,138150,865,1
16581,138151,968,1
17501,177728,-3,3
17501,177729,-3,3
17501,177726,-3,3
17501,177727,-3,3
